+---------+------------------------------------------+------------------------------------------+-------+---------+-------+------------+------------+
| STATION | STATION NAME                             | COUNTRY NAME                             | LAT   | LON     | ELEV  | START      | STOP       |
+---------+------------------------------------------+------------------------------------------+-------+---------+-------+------------+------------+
|       1 | VAEXJOE                                  | SWEDEN                                   | 56.87 | 14.80   |   166 | 1891-01-01 | 2006-11-30 |
|       2 | FALUN                                    | SWEDEN                                   | 60.62 | 15.62   |   160 | 1860-01-01 | 2016-03-31 |
|       3 | STENSELE                                 | SWEDEN                                   | 65.07 | 17.15   |   325 | 1891-01-01 | 2004-12-17 |
|       4 | LINKOEPING                               | SWEDEN                                   | 58.40 | 15.53   |    93 | 1931-01-01 | 2016-08-31 |
|       5 | LINKOEPING-MALMSLAETT                    | SWEDEN                                   | 58.40 | 15.53   |    93 | 1931-01-01 | 2016-08-31 |
|       6 | KARLSTAD                                 | SWEDEN                                   | 59.35 | 13.47   |    46 | 1918-01-01 | 2008-09-30 |
|       7 | KARLSTAD-AIRPORT                         | SWEDEN                                   | 59.44 | 13.34   |   107 | 1950-01-01 | 2016-08-31 |
|       8 | OESTERSUND                               | SWEDEN                                   | 63.18 | 14.48   |   376 | 1918-01-01 | 2016-08-31 |
|       9 | OESTERSUND-FROESOEN                      | SWEDEN                                   | 63.18 | 14.48   |   376 | 1918-01-01 | 2016-08-31 |
|      10 | STOCKHOLM                                | SWEDEN                                   | 59.35 | 18.05   |    44 | 1756-01-01 | 2016-08-31 |
|      11 | KREMSMUENSTER                            | AUSTRIA                                  | 48.05 | 14.13   |   383 | 1876-01-01 | 2016-08-31 |
|      12 | GRAZ                                     | AUSTRIA                                  | 47.08 | 15.45   |   366 | 1894-01-01 | 2016-08-31 |
|      13 | INNSBRUCK                                | AUSTRIA                                  | 47.27 | 11.40   |   577 | 1877-01-01 | 2016-08-31 |
|      14 | SALZBURG                                 | AUSTRIA                                  | 47.80 | 13.00   |   437 | 1874-01-01 | 2016-08-31 |
|      15 | SONNBLICK                                | AUSTRIA                                  | 47.05 | 12.95   |  3106 | 1886-10-01 | 2016-08-31 |
|      16 | WIEN                                     | AUSTRIA                                  | 48.23 | 16.35   |   199 | 1855-02-01 | 2016-08-31 |
|      17 | UCCLE                                    | BELGIUM                                  | 50.80 | 4.35    |   100 | 1794-02-08 | 2016-08-31 |
|      18 | KNEJA                                    | BULGARIA                                 | 43.50 | 24.08   |   116 | 1931-01-01 | 2004-12-31 |
|      19 | OBRASZOV-CHIFLIK                         | BULGARIA                                 | 43.80 | 26.03   |   156 | 1931-01-01 | 2004-12-31 |
